Pais1,Tot2003,Tot2004,Tot2005,Tot2006,Tot2007,Tot2008,Tot2009,Tot2010,Tasa2003,Tasa2004,Tasa2005,Tasa2006,Tasa2007,Tasa2008,Tasa2009,Tasa2010
Maldivas,2.0,1.0,,,5.0,9.0,,nan,0.7,0.3,,,1.6,2.9,,
Nepal,,,191.0,210.0,,,,nan,,,0.7,0.8,,,,
Sri Lanka,1378.0,1432.0,,,,,,nan,7.1,7.3,,,,,,
Armenia,3.0,9.0,15.0,7.0,5.0,15.0,15.0,11.0,0.1,0.3,0.5,0.2,0.2,0.5,0.5,0.4
Azerbaiyán,49.0,25.0,44.0,35.0,34.0,25.0,35.0,16.0,0.6,0.3,0.5,0.4,0.4,0.3,0.4,0.2
Baréin,19.0,27.0,25.0,17.0,21.0,36.0,,nan,2.9,4.0,3.4,2.1,2.3,3.4,,
Chipre,32.0,41.0,39.0,29.0,19.0,34.0,27.0,nan,3.2,4.0,3.8,2.8,1.8,3.2,2.5,
Georgia,52.0,62.0,141.0,167.0,156.0,100.0,84.0,82.0,1.1,1.4,3.1,3.8,3.5,2.3,1.9,1.9
Israel,,1319.0,1223.0,1291.0,1270.0,1243.0,,nan,,20.4,18.5,19.1,18.4,17.5,,
Jordania,,,78.0,110.0,,,,nan,,,1.5,2.0,,,,
Kuwait,,98.0,108.0,125.0,137.0,120.0,119.0,nan,,4.5,4.8,5.3,5.6,4.7,4.5,
Líbano,,,39.0,19.0,,,,nan,,,1.0,0.5,,,,
Palestina,85.0,98.0,105.0,,,,,nan,2.5,2.8,3.0,,,,,
Omán,,,,,132.0,183.0,,nan,,,,,5.2,6.9,,
Catar,11.0,13.0,,,,,,nan,1.7,1.8,,,,,,
Siria,131.0,97.0,135.0,112.0,125.0,156.0,,nan,0.7,0.5,0.7,0.6,0.6,0.8,,
Turquía,1604.0,1638.0,1694.0,1783.0,1148.0,1071.0,,nan,2.4,2.4,2.5,2.6,1.6,1.5,,
Emiratos Árabes Unidos,44.0,52.0,62.0,72.0,,,,nan,1.3,1.4,1.5,1.5,,,,
Yemen,,,95.0,95.0,125.0,158.0,176.0,nan,,,0.5,0.4,0.6,0.7,0.8,
Bielorrusia,432.0,386.0,483.0,353.0,336.0,240.0,218.0,nan,4.4,3.9,4.9,3.6,3.5,2.5,2.3,
Bulgaria,611.0,529.0,403.0,310.0,225.0,262.0,246.0,211.0,7.8,6.8,5.2,4.0,2.9,3.5,3.3,2.8
República Checa,646.0,687.0,596.0,530.0,637.0,529.0,480.0,nan,6.3,6.7,5.8,5.2,6.2,5.1,4.6,
Hungría,535.0,267.0,264.0,206.0,215.0,214.0,228.0,246.0,5.3,2.6,2.6,2.0,2.1,2.1,2.3,2.5
Polonia,2322.0,2176.0,1987.0,2001.0,1827.0,1611.0,1530.0,1567.0,6.1,5.7,5.2,5.2,4.8,4.2,4.0,4.1
Moldavia,272.0,297.0,280.0,268.0,281.0,306.0,264.0,368.0,7.0,7.8,7.4,7.2,7.7,8.4,7.3,10.3
Rumanía,983.0,953.0,1013.0,1116.0,1047.0,1016.0,1007.0,nan,4.5,4.4,4.7,5.1,4.8,4.7,4.7,
Rusia,8185.0,8848.0,9222.0,8871.0,7038.0,6208.0,5398.0,4907.0,5.6,6.1,6.4,6.2,4.9,4.3,3.8,3.4
Eslovaquia,233.0,224.0,200.0,174.0,182.0,152.0,142.0,nan,4.3,4.1,3.7,3.2,3.4,2.8,2.6,
Ucrania,1048.0,964.0,924.0,993.0,878.0,880.0,758.0,635.0,2.2,2.0,2.0,2.1,1.9,1.9,1.7,1.4
Dinamarca,472.0,562.0,475.0,527.0,492.0,396.0,400.0,nan,8.8,10.4,8.8,9.7,9.0,7.2,6.4,
Estonia,107.0,121.0,179.0,153.0,122.0,160.0,124.0,81.0,7.9,9.0,13.3,11.4,9.1,11.9,9.2,6.0
Finlandia,573.0,595.0,593.0,613.0,739.0,915.0,660.0,818.0,11.0,11.4,11.3,11.6,14.0,17.2,12.4,15.2
Islandia,69.0,51.0,75.0,72.0,87.0,68.0,78.0,nan,23.8,17.4,25.3,23.9,28.5,21.9,24.7,
Irlanda,370.0,409.0,451.0,371.0,357.0,348.0,377.0,479.0,9.2,10.0,10.8,8.8,8.3,8.0,8.5,10.7
Letonia,123.0,319.0,251.0,129.0,93.0,100.0,69.0,78.0,5.3,13.8,10.9,5.6,4.1,4.4,3.1,3.5
Lituania,278.0,260.0,265.0,253.0,200.0,164.0,149.0,208.0,8.1,7.6,7.8,7.4,5.9,4.9,4.5,6.3
Noruega,706.0,739.0,798.0,840.0,945.0,944.0,998.0,938.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
Suecia,2235.0,2261.0,3787.0,4208.0,4749.0,5446.0,5937.0,5960.0,25.0,25.2,41.9,46.3,51.8,59.0,63.8,63.5
Pakistánnota 1,3247.0,3600.0,3450.0,3570.0,389015.0,3680.0,3500.0,3478.0,22.316,29.7,25.0,24.4,27.7,25.6,27.4,28.8
Reino Unido (Escocia),794.0,900.0,975.0,922.0,908.0,821.0,884.0,nan,15.7,17.7,19.1,18.0,17.7,15.9,17.0,
Albania,,,49.0,40.0,41.0,39.0,34.0,24.0,,,1.6,1.3,1.3,1.2,1.1,0.7
Andorra,,,,,2.0,2.0,0.0,1.0,,,,,2.5,2.4,0.0,1.2
Bosnia y Herzegovina,,,39.0,40.0,44.0,35.0,29.0,46.0,,,1.0,1.1,1.2,0.9,0.8,1.2
Croacia,213.0,165.0,142.0,187.0,162.0,188.0,129.0,141.0,4.8,3.7,3.2,4.2,3.7,4.3,2.9,3.2
Grecia,231.0,240.0,177.0,182.0,185.0,232.0,213.0,215.0,2.1,2.2,1.6,1.6,1.6,2.1,1.9,1.9
Italia,2744.0,3734.0,4020.0,4513.0,,,,nan,4.7,6.4,6.9,7.6,,,,
Malta nota 1,11.0,13.0,7.0,17.0,10.0,19.0,12.0,11.0,2.7,3.2,1.7,4.1,2.4,4.6,2.9,2.6
Montenegro,,,8.0,11.0,,,,nan,,,1.3,1.8,,,,
Portugal,392.0,338.0,365.0,341.0,305.0,314.0,377.0,424.0,3.7,3.2,3.5,3.2,2.9,3.0,3.5,4.0
Serbia,,,89.0,115.0,105.0,123.0,111.0,72.0,,,0.9,1.2,1.1,1.2,1.1,0.7
Eslovenia,70.0,87.0,58.0,55.0,97.0,57.0,79.0,63.0,3.5,4.4,2.9,2.7,4.8,2.8,3.9,3.1
España,,,2140.0,2102.0,2530.0,2437.0,2051.0,1578.0,,,4.9,4.8,5.7,5.4,4.5,3.4
República de Macedonia,,,93.0,103.0,,,,nan,,,4.6,5.0,,,,
Austria,,687.0,678.0,700.0,710.0,693.0,779.0,875.0,,8.4,8.2,8.5,8.5,8.3,9.3,10.4
Bélgica,2850.0,2944.0,3029.0,3194.0,3232.0,3126.0,2953.0,2991.0,27.7,28.4,29.1,30.5,30.7,29.5,27.7,27.9
Francia,10408.0,10506.0,9993.0,9784.0,10132.0,10277.0,10108.0,nan,17.3,17.3,16.4,15.9,16.4,16.5,16.2,
Alemania,8766.0,8831.0,8133.0,8118.0,7511.0,7292.0,7314.0,7724.0,10.6,10.7,9.9,9.8,9.1,8.8,8.9,9.4
Liechtenstein,0.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,2.9,11.5,5.7,2.8,8.4,0.0,0.0
Luxemburgo,,,,40.0,44.0,57.0,,nan,,,,8.6,9.2,11.7,,
Mónaco,1.0,,3.0,2.0,,,,nan,2.8,,8.5,5.7,,,,
Países Bajos,1700.0,1800.0,2485.0,2385.0,2095.0,1920.0,1850.0,1530.0,10.5,11.1,15.2,14.6,12.7,11.6,11.2,9.2
Suizanota 1,547.0,573.0,646.0,639.0,648.0,612.0,666.0,543.0,7.5,7.8,8.7,8.6,8.6,8.1,8.7,7.1
Australia,,,,,,6382.0,6343.0,6378.0,,,,,,29.7,29.0,28.6
Nueva Zelanda,,,994.0,1183.0,1143.0,1130.0,1128.0,1129.0,,,24.0,28.3,27.0,26.4,26.1,25.8
Sudáfrica,,69117.0,68076.0,65201.0,63818.0,70514.0,68332.0,66196.0,,148.4,145.2,137.6,133.4,144.8,138.5,132.4
Islas Solomon,,170.0,65.0,79.0,61.0,56.0,,nan,,37.2,13.8,16.4,12.3,11.0,,
